ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
63,195.83,54.86,37.31,0.81,20.72,3.71,3.71,2.19,9.97,16.81,89.2,46.79,225.12,0.3,14.22,0.09,0.29,0.03,0.13,0.07,0.07,0,0.28,16.51,0.22,59.66,14.22,0.35,0.04,0.86,0.14,Bitkisel
64,471,7.76,64.8,5.3,19.7,7.7,18.9,880.000.000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
65,18,94.11,4,1.6,2.37,0.83,0.16,0.04,0,91.0,284.0,42.0,521.0,6.1,0.0,0.35,37.8,8.600.000,0,23,7.000.000,372,0.42,33,317,25,12,0.14,36,1,106,Bitkisel
66,47,882.900.000,11.55,0.1,11.54,0,0,0,0,9.0,33.0,6.0,4.0,26.5,0.0,0,0.1,0,0,225,354,142,0.12,1,0,6,6,0.03,0.02,0.1,0.2,Bitkisel
67,163.23,61.95,29.49,0,26.93,4.68,3.2,1.32,93.01,59.26,112.62,75.14,59.93,0.91,38.84,0.25,0.07,0.06,0.39,0.03,0.2,0.06,0.45,13.89,0.53,95.5,9.67,0.5,0.02,8.62,0.01,Mix
68,16,967.900.000,2.4,1.9,60.000.000,0.5,0.5,0.09,0,527.0,200.0,23.0,90.0,6,0.0,0.16,61.6,0.01,0,0,0.02,0,1.4,5,67,22,21,0.23,92,2,8.500.000,Bitkisel
69,97,77.55,0,0,0,19.35,1.54,133,53,1072.0,262.0,59.0,29.0,7.6,0.0,0,0,0.18,11.5,53,55,1.34,0.76,51,0.4,280,63,7.62,1.182,40,0.04,Hayvansal
70,357,10.94,73.3,2.9,2.5,11.2,2.1,454,0,2.0,431.0,34.0,0.0,0,0.0,0.05,0.3,419,0,419,121,6.738,3.52,43,93.500.000,508,144,4.16,553,894.000.000,3.012,Bitkisel
71,360,8.75,89.11,0,85.19,93.999.999,0,0,0,428.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,Mix
72,19,942.399.999,4.51,1.7,1.66,0.82,0.13,28,0,2.0,125.0,17.0,0.0,7.7,0.0,0.12,4.1,76,0,25,29,0.47,0.34,93,249,18,12,0.74,123,0.2,189,Bitkisel
